City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,College,US,62.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
6,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
7,Rikitea,PF,73.94,broken clouds,-23.1203,-134.9692,Pension Maro'i
8,Nikolskoye,RU,66.09,clear sky,59.7035,30.7861,Tourist House - Sablino
11,Saint-Philippe,RE,74.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Thyboron,DK,67.08,few clouds,56.6985,8.2124,Thyborøn Hotel
14,Vaini,TO,73.72,scattered clouds,-21.2,-175.2,Keleti Beach Resort
30,Padang,ID,75.9,overcast clouds,-0.9492,100.3543,Mercure Padang
32,Matara,LK,77.79,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
39,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
42,Dingle,PH,78.55,light rain,10.9995,122.6711,SEGAYA PROPERTY
45,Faya,SA,71.46,clear sky,18.3851,42.4509,مقبرة ال مجمل
48,Atuona,PF,79.56,scattered clouds,-9.8,-139.0333,Villa Enata
49,Daru,PG,77.56,overcast clouds,-9.0763,143.2092,Daru Lodge
52,Chuy,UY,66.79,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
61,Gravdal,NO,62.28,clear sky,68.1214,13.5031,Skreda Rorbusuiter
65,Chartres,FR,62.82,overcast clouds,48.4167,1.5,Grand Monarque Hotel & Spa - Best Western Premier
66,Castro,BR,72.12,clear sky,-24.7911,-50.0119,CHACARA BAILLY
68,Kerema,PG,75.4,overcast clouds,-7.9631,145.7785,Frena Lodge
72,Puerto Ayora,EC,75.54,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
74,Bandarbeyla,SO,79.2,clear sky,9.4942,50.8122,JABIR HOTEL
75,Altamira,BR,77.65,overcast clouds,-3.2033,-52.2064,Requinte Hotel
77,Carnarvon,AU,65.59,clear sky,-24.8667,113.6333,Hospitality Carnarvon
78,Bambous Virieux,MU,72.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
81,Arraial Do Cabo,BR,75.02,clear sky,-22.9661,-42.0278,Pousada Porto Praia
83,Jamestown,US,78.03,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
93,Esmeralda,CU,76.24,broken clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
99,Nesna,NO,72.32,broken clouds,66.1967,13.0213,Havblikk Helgeland AS
105,Souillac,MU,72.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
107,Bubaque,GW,79.29,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
108,Kapaa,US,78.78,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
113,Namatanai,PG,79.38,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
114,Tsuruga,JP,60.96,overcast clouds,35.6455,136.0558,New Sunpia Tsuruga
117,Alofi,NU,76.17,light rain,-19.0595,-169.9187,Taloa Heights
121,Mayumba,GA,77.0,overcast clouds,-3.432,10.6554,LIKWALE LODGE
122,Poum,NC,74.46,scattered clouds,-20.2333,164.0167,Gîte kajeon
125,Bibiani,GH,74.66,moderate rain,6.4635,-2.3194,Rodick Hotel
126,Mizdah,LY,77.74,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
127,Mahebourg,MU,72.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Meulaboh,ID,71.4,very heavy rain,4.1363,96.1285,Kost Pria
136,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
137,Bayir,TR,72.12,clear sky,37.2687,28.2167,Hotel Babadag
138,North Bend,US,72.95,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
139,Saint-Joseph,RE,73.76,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
140,Bethel,US,78.93,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
143,Yambio,SS,69.13,light rain,4.5721,28.3955,Naivasha Hotel
148,Kuala Terengganu,MY,79.83,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
159,Sao Filipe,CV,75.65,broken clouds,14.8961,-24.4956,Hotel Xaguate
160,Sakaiminato,JP,62.37,overcast clouds,35.55,133.2333,味処・民宿 まつや
161,Japura,ID,73.56,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
162,Cidreira,BR,68.85,few clouds,-30.1811,-50.2056,Hotel Castelo
163,Balykshi,KZ,75.2,scattered clouds,47.0667,51.8667,Гостиница Golden Rose
164,Lata,PT,71.04,broken clouds,40.1629,-8.3327,Casa Maquia
165,Mbuji-Mayi,CD,79.05,broken clouds,-6.15,23.6,GKT Hotel
170,Loanda,AO,76.96,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
174,Sao Joao Da Barra,BR,75.4,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
178,Straumen,NO,71.6,clear sky,63.8709,11.2999,Jægtvolden Fjordhotell
184,Palmer,US,78.98,light rain,42.1584,-72.3287,Wedgewood Motel
186,Manokwari,ID,79.03,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
187,Kapit,MY,74.12,moderate rain,2.0167,112.9333,Hotel Meligai Kapit
188,Fairbanks,US,64.09,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
189,Thompson,CA,60.67,overcast clouds,55.7435,-97.8558,Burntwood Hotel
191,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
194,Mbala,ZM,65.77,broken clouds,-8.8402,31.3659,Lake Chila Lodge
196,Kieta,PG,78.46,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
199,Mattru,SL,78.53,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
200,Meghri,AM,65.75,clear sky,38.9029,46.2446,Haer B&B
202,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
204,Bellevue,US,68.22,broken clouds,47.6104,-122.2007,The Westin Bellevue
205,Taltal,CL,63.59,few clouds,-25.4,-70.4833,Residencial Karime
206,Hualmay,PE,69.84,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
209,Muros,ES,67.08,clear sky,42.7762,-9.0603,Apartment Av. Castelao
212,Guerrero Negro,MX,77.27,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
214,Atambua,ID,70.61,few clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
219,Hay River,CA,63.77,broken clouds,60.8156,-115.7999,Ptarmigan Inn
221,Shache,CN,77.07,few clouds,38.4167,77.2406,Delong Hotel
229,Karpathos,GR,67.95,clear sky,35.507,27.2132,Alex
231,Musoma,TZ,72.45,overcast clouds,-1.5,33.8,New Peninsula Hotel
234,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
235,Eichstatt,DE,70.23,broken clouds,48.8833,11.1833,Hotel Adler
236,Rognan,NO,63.75,clear sky,67.0953,15.3878,Rognan Hotell
241,Makakilo City,US,78.57,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
244,Neuquen,AR,60.39,overcast clouds,-38.9516,-68.0591,Hotel del Comahue
245,La Libertad,EC,74.25,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
246,Evinayong,GQ,68.63,overcast clouds,1.4368,10.5512,Hotel Don Patricio
251,Roald,NO,69.85,clear sky,62.5833,6.1333,Flem Cabins
255,Mucurapo,TT,78.96,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
256,Horta,PT,65.84,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
259,Vila Franca Do Campo,PT,66.61,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
262,Nazret,ET,70.16,scattered clouds,8.55,39.2667,Liben Guesthouse
265,Kimbe,PG,76.68,light rain,-5.5502,150.1429,Kimbe Bay Hotel
267,Korla,CN,79.16,overcast clouds,41.7597,86.1469,Gulisitan Hotel
271,Hovd,MN,67.15,overcast clouds,48.0056,91.6419,Hotel Khovd
273,Tura,IN,74.73,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
276,Tromso,NO,66.85,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
277,Lasem,ID,79.02,clear sky,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
283,Saint-Felicien,CA,70.11,overcast clouds,48.6501,-72.4491,Hôtel du Jardin
284,Chicama,PE,74.93,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
285,Chimbote,PE,69.89,clear sky,-9.0853,-78.5783,Hotel Viera Chimbote
287,Lasa,IT,64.31,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
291,Richards Bay,ZA,61.09,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
