City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Touros,BR,-5.1989,-35.4608,82.11,70,8,14.74,clear sky
1,Kodiak,US,57.79,-152.4072,49.69,71,15,1.21,few clouds
2,Hermanus,ZA,-34.4187,19.2345,56.89,84,17,10.27,few clouds
3,Anzhero-Sudzhensk,RU,56.081,86.0285,46.06,93,100,13.51,light rain
4,College,US,64.8569,-147.8028,62.58,58,70,1.01,broken clouds
5,Abapo,BO,-18.8333,-63.4667,84.04,36,81,14.65,broken clouds
6,Avarua,CK,-21.2078,-159.775,77.05,73,75,10.36,light rain
7,Rikitea,PF,-23.1203,-134.9692,73.94,78,56,12.37,broken clouds
8,Nikolskoye,RU,59.7035,30.7861,66.09,69,7,2.77,clear sky
9,Dikson,RU,73.5069,80.5464,29.86,97,100,16.64,light snow
10,Hofn,IS,64.2539,-15.2082,47.86,97,100,8.61,heavy intensity rain
11,Saint-Philippe,RE,-21.3585,55.7679,74.75,83,47,12.26,scattered clouds
12,Geraldton,AU,-28.7667,114.6,50.41,87,0,6.24,clear sky
13,Thyboron,DK,56.6985,8.2124,67.08,86,12,9.19,few clouds
14,Vaini,TO,-21.2,-175.2,73.72,69,47,18.21,scattered clouds
15,Qaanaaq,GL,77.484,-69.3632,35.19,79,30,1.54,scattered clouds
16,Ilulissat,GL,69.2167,-51.1,55.42,30,20,23.02,few clouds
17,Batagay-Alyta,RU,67.8006,130.4114,60.76,50,100,9.17,overcast clouds
18,Egvekinot,RU,66.3167,-179.1667,30.43,70,19,2.77,few clouds
19,Riyadh,SA,24.6877,46.7219,105.85,11,0,4.61,clear sky
20,Port Alfred,ZA,-33.5906,26.891,55.71,63,0,8.25,clear sky
21,Ushuaia,AR,-54.8,-68.3,33.19,94,99,2.42,overcast clouds
22,Lompoc,US,34.6391,-120.4579,86.02,72,40,3.0,scattered clouds
23,Hilo,US,19.7297,-155.09,84.27,70,71,1.99,broken clouds
24,Grindavik,IS,63.8424,-22.4338,51.57,93,75,5.99,broken clouds
25,Longyearbyen,SJ,78.2186,15.6401,31.84,80,75,19.57,light snow
26,Chokurdakh,RU,70.6333,147.9167,50.77,87,100,4.61,overcast clouds
27,Uray,RU,60.1247,64.7758,50.58,60,2,5.86,clear sky
28,Port Lincoln,AU,-34.7333,135.8667,54.82,83,56,10.54,broken clouds
29,Ambositra,MG,-20.5167,47.25,55.58,85,3,3.09,clear sky
30,Padang,ID,-0.9492,100.3543,75.9,92,99,3.06,overcast clouds
31,Yellowknife,CA,62.456,-114.3525,49.28,100,90,4.61,mist
32,Matara,LK,5.9485,80.5353,77.79,89,57,9.93,broken clouds
