City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Garowe,8.4054,48.4845,73.67,74,35,21.88,SO,2021-05-26 01:48:53
1,Kodiak,57.79,-152.4072,60.31,39,1,5.75,US,2021-05-26 01:48:53
2,East London,-33.0153,27.9116,63.64,88,54,10.71,ZA,2021-05-26 01:48:53
3,Mar Del Plata,-38.0023,-57.5575,47.23,68,0,8.01,AR,2021-05-26 01:45:00
4,Isangel,-19.55,169.2667,78.91,61,75,11.7,VU,2021-05-26 01:48:54
5,Berdigestyakh,62.0989,126.6992,60.89,29,64,6.31,RU,2021-05-26 01:48:54
6,Butaritari,3.0707,172.7902,82.2,78,100,19.17,KI,2021-05-26 01:48:54
7,Santiago,-33.4569,-70.6483,61.18,44,0,1.99,CL,2021-05-26 01:45:29
8,New Norfolk,-42.7826,147.0587,56.7,57,100,5.01,AU,2021-05-26 01:44:58
9,Atuona,-9.8,-139.0333,79.95,63,56,12.88,PF,2021-05-26 01:48:55
10,Rikitea,-23.1203,-134.9692,77.68,79,56,16.6,PF,2021-05-26 01:48:55
11,Punta Arenas,-53.15,-70.9167,35.71,75,20,11.45,CL,2021-05-26 01:46:09
12,Puerto Ayora,-0.7393,-90.3518,74.55,91,13,5.01,EC,2021-05-26 01:48:56
13,Constitucion,-35.3333,-72.4167,54.48,81,11,7.18,CL,2021-05-26 01:44:59
14,Ribeira Grande,38.5167,-28.7,64.29,94,100,16.51,PT,2021-05-26 01:48:56
15,Sehithwa,-20.4667,22.7167,52.11,58,49,3.31,BW,2021-05-26 01:48:56
16,Wakkanai,45.4094,141.6739,57.18,67,20,12.66,JP,2021-05-26 01:48:57
17,Alofi,-19.0595,-169.9187,76.89,83,75,16.11,NU,2021-05-26 01:48:57
18,Mataura,-46.1927,168.8643,49.48,45,94,1.63,NZ,2021-05-26 01:45:05
19,Kloulklubed,7.0419,134.2556,86.5,72,100,4.29,PW,2021-05-26 01:48:57
20,Ushuaia,-54.8,-68.3,31.66,86,75,17.27,AR,2021-05-26 01:48:58
21,Hilo,19.7297,-155.09,80.33,78,90,13.8,US,2021-05-26 01:48:58
22,Bredasdorp,-34.5322,20.0403,54.72,71,79,5.35,ZA,2021-05-26 01:46:31
23,Albany,42.6001,-73.9662,74.05,69,100,1.01,US,2021-05-26 01:48:59
24,Burns Lake,54.2331,-125.7533,54.82,39,72,11.83,CA,2021-05-26 01:48:59
25,Cabo San Lucas,22.8909,-109.9124,88.52,30,20,11.5,MX,2021-05-26 01:48:49
26,Goderich,43.7501,-81.7165,75.52,50,100,19.57,CA,2021-05-26 01:48:59
27,Nome,64.5011,-165.4064,68.11,30,1,8.05,US,2021-05-26 01:47:11
28,Acarau,-2.8856,-40.12,77.31,81,71,11.07,BR,2021-05-26 01:49:00
29,Serro,-18.6047,-43.3794,63.63,99,96,1.95,BR,2021-05-26 01:49:00
30,Hithadhoo,-0.6,73.0833,83.8,66,100,21.56,MV,2021-05-26 01:47:19
31,Pacific Grove,36.6177,-121.9166,70.2,78,40,11.01,US,2021-05-26 01:44:16
32,La Ronge,55.1001,-105.2842,44.85,33,20,12.66,CA,2021-05-26 01:49:01
33,Chake Chake,-5.2459,39.7666,76.98,71,99,12.68,TZ,2021-05-26 01:49:01
34,Sisophon,13.5859,102.9737,82.49,79,100,4.7,KH,2021-05-26 01:49:01
35,Nikolskoye,59.7035,30.7861,48.09,88,92,7.29,RU,2021-05-26 01:49:02
36,Port Alfred,-33.5906,26.891,62.28,89,45,11.68,ZA,2021-05-26 01:47:16
37,Castro,-24.7911,-50.0119,49.69,52,29,1.32,BR,2021-05-26 01:49:02
38,Hobart,-42.8794,147.3294,57.06,61,40,1.99,AU,2021-05-26 01:46:19
39,Busselton,-33.65,115.3333,57.04,64,89,13.18,AU,2021-05-26 01:49:02
40,Padang,-0.9492,100.3543,82.45,70,89,1.32,ID,2021-05-26 01:49:03
41,Portland,45.5234,-122.6762,62.64,80,75,1.01,US,2021-05-26 01:46:15
42,Bluff,-46.6,168.3333,49.8,48,66,2.06,NZ,2021-05-26 01:46:38
43,Yellowknife,62.456,-114.3525,48.29,31,20,1.01,CA,2021-05-26 01:44:58
44,Namibe,-15.1961,12.1522,74.55,63,0,4.56,AO,2021-05-26 01:49:04
45,Cape Town,-33.9258,18.4232,61.88,77,75,1.99,ZA,2021-05-26 01:44:15
46,Bayan,46.0833,127.4,65.68,23,4,8.12,CN,2021-05-26 01:49:04
47,Kashi,39.4547,75.9797,69.01,19,40,2.1,CN,2021-05-26 01:49:04
48,Verkhnevilyuysk,63.4453,120.3167,55.49,56,100,4.74,RU,2021-05-26 01:49:05
49,Omboue,-1.5746,9.2618,77.23,94,86,6.04,GA,2021-05-26 01:49:05
